OID_,Join_Count,TARGET_FID,Unique_ID,Lat,Long,Date,Site_name,Date_1,Sex,L_HW_mm,L_FW_mm,Total_Length_mm,Metathoracic_Femur_Length_mm,F___12,Metathoracic_Femur_Length_mm_1,OBJECTID_1,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,GlobalID,SHAPE_Leng,GAZ_ID
24,1,24,F-61,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,22.56,23.96,40.869999999999997,6.53,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
25,1,25,F-64,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,24.27,25.6,40.280000000000001,6.19,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
26,1,26,F-65,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,22.94,24.15,40.259999999999998,6.27,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
27,1,27,F-67,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,23.63,24.98,40.340000000000003,6.5,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
28,1,28,F-95,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,female,25.91,27.28,41.979999999999997,6.84,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
29,1,29,F-96,30.680869000000001,-87.131867999999997,26800,FL: Santa Rosa Co.,Pond Creek at S-191 NW of Milton,male,24.16,26.4,41.560000000000002,7.35,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
30,1,30,F-09,30.426304999999999,-85.295137999999994,26810,FL: Calhoun Co.,Juniper Creek at Hwy 20,male,21.35,22.75,37.380000000000003,7.31,NA,,230518,03130012,0313001205,031300120505,36414.688517800001136,0.000000000000000, , ,Tenmile Creek-Chipola River,NM,S,031300120504,Juniper Creek-Chipola River,NM,S,FL01,FL,{3717A947-394D-4E8A-8A03-05F6FB9CB61A},0.892268555881000,-449540
31,1,31,F-10,30.426304999999999,-85.295137999999994,26810,FL: Calhoun Co.,Juniper Creek at Hwy 20,male,21.93,23.54,37.119999999999997,7.19,NA,,230518,03130012,0313001205,031300120505,36414.688517800001136,0.000000000000000, , ,Tenmile Creek-Chipola River,NM,S,031300120504,Juniper Creek-Chipola River,NM,S,FL01,FL,{3717A947-394D-4E8A-8A03-05F6FB9CB61A},0.892268555881000,-449540
32,1,32,F-11,30.426304999999999,-85.295137999999994,26810,FL: Calhoun Co.,Juniper Creek at Hwy 20,female,23.1,24.28,38.509999999999998,7.13,NA,,230518,03130012,0313001205,031300120505,36414.688517800001136,0.000000000000000, , ,Tenmile Creek-Chipola River,NM,S,031300120504,Juniper Creek-Chipola River,NM,S,FL01,FL,{3717A947-394D-4E8A-8A03-05F6FB9CB61A},0.892268555881000,-449540
33,1,33,F-12,30.426304999999999,-85.295137999999994,26810,FL: Calhoun Co.,Juniper Creek at Hwy 20,male,21.74,23.22,36.100000000000001,7.08,NA,,230518,03130012,0313001205,031300120505,36414.688517800001136,0.000000000000000, , ,Tenmile Creek-Chipola River,NM,S,031300120504,Juniper Creek-Chipola River,NM,S,FL01,FL,{3717A947-394D-4E8A-8A03-05F6FB9CB61A},0.892268555881000,-449540
